,Fighter Name,Nickname,Height,Weight,Reach,Stance,Win,Lose,Draw
2295,Danny Martinez,The Gremlin,"5' 6""",125 lbs.,"67.0""",Orthodox,21,8,0
2296,Alonzo Martinez,Zo Diddy,"5' 10""",155 lbs.,--,,42,20,1
2297,Henry Martinez,Sicario,"5' 7""",155 lbs.,"69.0""",Southpaw,9,4,0
2298,Jonathan Martinez,Dragon,"5' 8""",135 lbs.,"70.0""",Southpaw,19,5,0
2299,Poppies Martinez,The Tachi Kid,"5' 9""",145 lbs.,--,,29,11,0
2300,Andrew Martinez,Mickey D,"5' 9""",215 lbs.,--,,9,6,0
2301,Mana Martinez,ManaBoi,"5' 10""",135 lbs.,"70.0""",Orthodox,10,4,0
2302,Victor Martinez,The Brick,"5' 8""",155 lbs.,"70.0""",Orthodox,13,5,0
2303,Roque Martinez,,"5' 10""",250 lbs.,"72.0""",Orthodox,15,8,2
2304,Melissa Martinez,Super Mely,"5' 2""",115 lbs.,"66.0""",Southpaw,7,1,0
2305,Wagner da Conceicao Martins,Zuluzinho,"6' 7""",390 lbs.,--,Orthodox,9,8,0
2306,Adriano Martins,,"5' 10""",155 lbs.,"72.0""",Southpaw,28,9,0
2307,Lucas Martins,Mineiro,"6' 0""",145 lbs.,"72.0""",Southpaw,19,3,0
2308,Max Martyniouk,Payne,--,155 lbs.,--,,1,1,0
2309,Bristol Marunde,,"6' 1""",170 lbs.,"75.0""",Orthodox,16,10,0
2310,Shoji Maruyama,,"5' 7""",139 lbs.,--,Orthodox,12,9,1
2311,Kazuma Maruyama,Gluttony,"5' 11""",155 lbs.,"72.0""",Orthodox,11,7,0
2312,Mike Massenzio,The Master of Disaster,"6' 2""",185 lbs.,"73.0""",Southpaw,13,9,0
2313,Jameel Massouh,,"5' 10""",145 lbs.,"72.0""",Orthodox,26,9,0
2314,Tiffany Masters,Rainbow Renegade,"5' 3""",115 lbs.,"65.0""",Orthodox,2,1,0
2315,Jorge Masvidal,Gamebred,"5' 11""",170 lbs.,"74.0""",Orthodox,35,17,0
2316,Al Matavao,Sweetness,"5' 8""",205 lbs.,"67.0""",Orthodox,8,3,0
2317,Tateki Matsuda,Tech,"5' 7""",125 lbs.,--,Orthodox,13,8,0
2318,Daijiro Matsui,,"5' 9""",200 lbs.,--,Orthodox,13,29,7
2319,Toki Matsui,,--,125 lbs.,--,,6,1,0
2320,Koichiro Matsumoto,,"5' 7""",145 lbs.,--,,15,3,1
2321,Jean Matsumoto,,"5' 6""",135 lbs.,"68.0""",Orthodox,15,0,0
2322,Koyomi Matsushima,,"5' 7""",145 lbs.,"66.0""",Orthodox,13,6,0
2323,Naoki Matsushita,,"5' 6""",155 lbs.,--,Orthodox,12,16,11
2324,AJ Matthews,,"5' 11""",185 lbs.,--,,8,7,0
